,Min,Q1,Median,Mean,Q3,Max
Steady,13.0,23.0,24.0,23.5,24.0,24.0
Increased,0.0,0.0,0.0,0.3,0.0,9.0
Decreased,0.0,0.0,0.0,0.2,0.0,3.0
