,Min,Q1,Median,Mean,Q3,Max
Steady,10.0,14.5,17.0,17.0,20.5,23.0
Increased,1.0,3.0,5.0,5.4,7.5,10.0
Decreased,0.0,0.0,1.0,1.6,2.5,9.0
