,Min,Q1,Median,Mean,Q3,Max
Steady,9.0,23.0,24.0,23.2,24.0,24.0
Increased,0.0,0.0,0.0,0.5,1.0,11.0
Decreased,0.0,0.0,0.0,0.3,0.0,7.0
