project,commit_hash,file_name
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/converters/h264.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/converters/index.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/routes.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/deep-linking.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/devices.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/sentry.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/windows.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/errors.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/image-preview.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/notifications.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/ffmpeg-path.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/timestamped-name.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/formats.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/shortcut-to-accelerator.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/ajv.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/dock.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/open-files.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/protocol.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/fps.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/utils/encoding.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/common/analytics.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/common/settings.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/common/constants.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/common/flags.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/common/accelerator-validator.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/common/system-permissions.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/common/types/base.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/common/types/window-states.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/common/types/index.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/common/types/conversion-options.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/common/types/remote-states.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/menus/cog.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/menus/common.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/menus/utils.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/menus/application.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/windows/kap-window.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/windows/manager.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/windows/load.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/windows/editor.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/windows/preferences.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/windows/dialog.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/windows/config.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/windows/exports.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/windows/cropper.ts
