created_at,2012-03-10T10:08:14Z
forks_count,8111
stargazers_count,59922
watchers_count,59922
open_issues_count,276
commits_count,14703
contributors_count,410
releases_count,369
js_proportion,0.9962276692802351
ts_proportion,0.002002862749428724
