created_at,2014-09-28T13:38:23Z
forks_count,5121
stargazers_count,40047
watchers_count,40047
open_issues_count,769
commits_count,14946
contributors_count,424
releases_count,278
js_proportion,0.4480015785158183
ts_proportion,0.5433176612339234
