created_at,2014-08-26T04:27:45Z
forks_count,3823
stargazers_count,23826
watchers_count,23826
open_issues_count,175
commits_count,4039
contributors_count,369
releases_count,28
tags_count,140
js_ratio,0.008549096238397655
ts_ratio,0.9914509037616024
filtered_releases_count,73
