created_at,2012-03-14T19:11:45Z
forks_count,9592
stargazers_count,29537
watchers_count,29537
open_issues_count,160
commits_count,2867
contributors_count,204
releases_count,4
tags_count,231
js_ratio,0.7783613175991295
ts_ratio,0.10249275510989152
filtered_releases_count,170
