created_at,2019-09-10T19:23:58Z
forks_count,1262
stargazers_count,24223
watchers_count,24223
open_issues_count,37
commits_count,1407
contributors_count,366
js_proportion,0.006644658941088696
ts_proportion,0.9933553410589113
releases_count,345
