created_at,2012-12-03T19:25:52Z
forks_count,7300
stargazers_count,28503
watchers_count,28503
open_issues_count,100
commits_count,578
contributors_count,155
releases_count,0
tags_count,104
js_ratio,0.9906889311017886
ts_ratio,0.00383391328246105
filtered_releases_count,101
