created_at,2015-03-22T07:00:24Z
forks_count,655
stargazers_count,19448
watchers_count,19448
open_issues_count,220
commits_count,2998
contributors_count,59
releases_count,187
tags_count,260
js_proportion,0
ts_proportion,0.9619251177114106
