created_at,2018-04-10T09:26:44Z
forks_count,1841
stargazers_count,37404
watchers_count,37404
open_issues_count,395
commits_count,1368
contributors_count,268
releases_count,104
tags_count,106
js_ratio,1.0
ts_ratio,0
filtered_releases_count,106
