created_at,2012-09-23T15:17:08Z
forks_count,4231
stargazers_count,33834
watchers_count,33834
open_issues_count,86
commits_count,3493
contributors_count,153
js_proportion,0.9999221876538639
ts_proportion,0
releases_count,134
