created_at,2013-08-20T23:06:02Z
forks_count,13465
stargazers_count,45723
watchers_count,45723
open_issues_count,677
commits_count,10969
contributors_count,402
js_proportion,0.09657461905065295
ts_proportion,0.415165691990305
releases_count,156
