created_at,2009-04-03T15:20:14Z
forks_count,20189
stargazers_count,55644
watchers_count,55644
open_issues_count,82
commits_count,6548
contributors_count,284
releases_count,2
tags_count,153
js_proportion,0.9356559494212188
ts_proportion,0
