created_at,2013-11-27T13:21:13Z
forks_count,5641
stargazers_count,58440
watchers_count,58440
open_issues_count,604
commits_count,844
contributors_count,64
releases_count,10
tags_count,125
js_ratio,0.958735989891663
ts_ratio,0
filtered_releases_count,122
