created_at,2013-07-20T18:53:45Z
forks_count,3119
stargazers_count,32105
watchers_count,32105
open_issues_count,57
commits_count,1141
contributors_count,201
releases_count,0
tags_count,95
js_ratio,1.0
ts_ratio,0
filtered_releases_count,87
